,Aktywa razem/Kapitał własnyj (%),Wskaźnik rotacji kapitału obrotowego (x),Kapitał obrotowy,Obrót aktywów bieżących (x),Gotówka netto,Stopa zwrotu z kapitału własnego (ROE) (%),Kapitał własny ogółem,Wskaźnik rotacji aktywów (x),Operacyjny wskaźnik rentowności aktywów (%),Zwrot z kapitału zaangażowanego (%),into_default,Wiek firmy (lata)
0,358.75,28.49,175260.06,6.5,-499188.0,86.43,229036.0,6.07,24.6,88.26,1,21.0
1,135.14,3.44,1443160.77,2.21,-375261.0,1.4,2912409.0,1.26,0.99,1.24,0,19.0
2,185.0,34.28,145180.76,10.37,-334725.0,56.12,393612.0,6.83,38.62,71.44,0,21.0
3,264.02,9.96,501490.69,3.5,-926677.0,37.13,564685.0,3.35,14.08,37.17,0,20.0
4,213.05,7.16,648799.84,2.81,-3423921.0,13.07,3776884.0,0.58,9.38,10.71,0,20.0
5,309.6,3.03,1649278.73,1.76,-2883623.0,9.31,1375071.0,1.17,7.42,10.26,0,17.0
6,247.3,5.31,937679.77,2.2,-1357415.0,4.45,921095.0,2.19,4.77,11.4,0,20.0
7,144.66,3.26,1531656.52,2.16,-781282.0,21.69,1748701.0,1.97,20.99,30.36,0,7.0
8,448.84,-133.72,-37156.62,9.39,-850839.0,337.88,243789.0,4.54,76.74,159.0,0,16.0
9,201.64,6.64,719028.25,2.27,-2003827.0,4.96,2108980.0,1.12,4.17,6.19,0,7.0
10,151.19,5.14,968725.15,3.26,-326342.0,10.92,1094546.0,3.01,11.52,17.42,0,11.0
11,111.44,2.05,2425160.94,1.75,1965279.0,0.0,3627420.0,1.23,16.6,18.5,0,20.0
12,128.9,5.6,882092.87,1.41,-867.0,1.75,9035819.0,0.42,-0.48,-0.62,0,21.0
13,113.0,4.53,1100902.51,3.93,428167.0,59.66,1289185.0,3.42,66.12,74.71,0,20.0
14,141.92,2.8,1739403.03,2.06,-309082.0,6.46,2541095.0,1.35,5.97,7.24,0,19.0
15,133.36,-66.9,-71104.91,5.4,-576174.0,14.54,3572250.0,1.0,13.92,17.4,0,20.0
16,123.59,3.15,1584133.47,2.41,-487219.0,19.34,2064217.0,1.95,18.15,22.44,0,18.0
17,113.44,3.6,1383189.15,2.69,-464216.0,32.52,3452017.0,1.27,24.76,28.08,0,16.0
18,150.67,-99.38,-50175.44,4.54,-2251431.0,14.64,4441018.0,0.74,13.72,16.57,0,17.0
19,2471.06,316.49,15716.91,9.0,-537213.0,2646.12,22646.0,8.88,134.67,3327.75,0,13.0
20,189.15,3.28,1501268.59,1.45,-1879467.0,34.82,2107078.0,1.23,23.05,43.59,0,20.0
21,252.4,13.7,364187.16,1.34,-3670221.0,29.41,2407124.0,0.82,12.5,27.8,0,5.0
22,165.73,4.16,1198156.12,2.46,-571015.0,38.28,1261479.0,2.38,23.3,38.62,0,11.0
23,194.53,7.78,628077.67,3.01,-927681.0,4.16,1052226.0,2.39,6.07,11.8,0,8.0
24,225.52,3.73,1334239.1,1.6,-1771489.0,49.96,1410647.0,1.57,22.14,49.92,0,20.0
25,105.98,2.67,1867837.73,2.52,-113608.0,23.44,1898615.0,2.48,0.0,0.0,0,21.0
26,335.4,-14.61,-339570.43,3.51,-1267072.0,137.77,741204.0,1.99,55.96,189.86,0,4.0
27,286.12,10.09,493534.89,3.29,-886392.0,81.74,548848.0,3.17,40.47,115.79,0,6.0
28,180.16,3.63,1363386.77,2.69,-477312.0,8.81,1116446.0,2.46,7.76,10.17,0,9.0
29,208.47,27.17,179437.14,4.11,-988796.0,-0.06,928772.0,2.52,5.56,11.6,0,21.0
30,167.36,15.16,320025.04,7.81,-403558.0,8.68,598765.0,4.84,8.4,12.0,0,11.0
31,276.64,10.42,468286.93,2.42,-2152483.0,7.65,1232562.0,1.43,5.22,9.54,1,19.0
32,369.11,13.55,367706.18,3.59,-392343.0,25.67,379366.0,3.56,10.31,38.07,0,15.0
